Scheme_Name	Net_Asset_Value
Franklin India Dynamic Accrual Fund- Segregated Portfolio 3 (9.50% Yes Bank Ltd CO 23Dec21) - IDCW	0.0000
Franklin India Dynamic Accrual Fund-Growth	94.7880
Franklin India Dynamic Accrual Fund-Segregated Portfolio 2 - 10.90% Vodafone Idea Ltd (02-Sep-2023) - Direct IDCW	0.1496
Franklin India Dynamic Accrual Fund-Segregated Portfolio 3 (9.50% Yes Bank Ltd CO 23Dec21) - Direct IDCW	0.0000
Groww Dynamic Bond Fund (formerly known as Indiabulls Dynamic Bond Fund) - Direct Plan - Growth option	1323.5445
Groww Dynamic Bond Fund (formerly known as Indiabulls Dynamic Bond Fund) - Regular Plan - Growth option	1293.8006
Groww Dynamic Bond Fund (formerly known as Indiabulls Dynamic Bond Fund)- Direct Plan- - Income Distribution cum capital withdrawal Option ( Reinvestment)	1008.2069
Groww Dynamic Bond Fund (formerly known as Indiabulls Dynamic Bond Fund)- Direct Plan- Fortnightly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment)	1011.1139
Groww Dynamic Bond Fund (formerly known as Indiabulls Dynamic Bond Fund)- Direct Plan- Monthly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment)	1008.0912
Groww Dynamic Bond Fund (formerly known as Indiabulls Dynamic Bond Fund)- Direct Plan- Weekly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment)	1009.1104
Groww Dynamic Bond Fund (formerly known as Indiabulls Dynamic Bond Fund)- Regular Plan- - Income Distribution cum capital withdrawal Option ( Reinvestment)	1008.7106
Groww Dynamic Bond Fund (formerly known as Indiabulls Dynamic Bond Fund)- Regular Plan- Fortnightly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment)	1010.6692
Groww Dynamic Bond Fund (formerly known as Indiabulls Dynamic Bond Fund)- Regular Plan- Monthly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment)	1008.2418
Groww Dynamic Bond Fund (formerly known as Indiabulls Dynamic Bond Fund)- Regular Plan- Weekly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment)	1008.9456
HDFC Dynamic Debt Fund - Growth Option	77.056
HDFC Dynamic Debt Fund - Growth Option - Direct Plan	83.7212
HDFC Dynamic Debt Fund - Half Yearly IDCW - Direct Plan	13.3704
HDFC Dynamic Debt Fund - Half Yearly IDCW Option	11.4868
HDFC Dynamic Debt Fund - Normal IDCW - Direct Plan	17.628
HDFC Dynamic Debt Fund - Normal IDCW Option	16.5082
HDFC Dynamic Debt Fund - Quarterly IDCW - Direct Plan	13.481
HDFC Dynamic Debt Fund - Quarterly IDCW Option	12.1918
HDFC Dynamic Debt Fund - Yearly IDCW - Direct Plan	14.5688
HDFC Dynamic Debt Fund - Yearly IDCW Option	13.1508
HSBC Dynamic Bond Fund - Direct Annual IDCW	11.0689
HSBC Dynamic Bond Fund - Direct Growth	27.1604
HSBC Dynamic Bond Fund - Direct Monthly IDCW	12.7313
HSBC Dynamic Bond Fund - Regular Annual IDCW	10.5557
HSBC Dynamic Bond Fund - Regular Growth	25.3596
HSBC Dynamic Bond Fund - Regular Monthly IDCW	10.6894
ICICI Prudential All Seasons Bond Fund - Annual IDCW	11.4664
ICICI Prudential All Seasons Bond Fund - Bonus	17.0248
ICICI Prudential All Seasons Bond Fund - Direct Plan - Annual IDCW	11.4853
ICICI Prudential All Seasons Bond Fund - Direct Plan - Growth	33.4801
ICICI Prudential All Seasons Bond Fund - Direct Plan - IDCW	21.7262
ICICI Prudential All Seasons Bond Fund - Direct Plan - Quarterly IDCW	11.8673
ICICI Prudential All Seasons Bond Fund - Direct Plan - Weekly IDCW	10.5743
ICICI Prudential All Seasons Bond Fund - Direct Plan Bonus	17.8505
ICICI Prudential All Seasons Bond Fund - Growth	31.4588
ICICI Prudential All Seasons Bond Fund - IDCW	19.5629
ICICI Prudential All Seasons Bond Fund - Premium Growth Option	25.7538
ICICI Prudential All Seasons Bond Fund - Quarterly IDCW	11.5913
ICICI Prudential All Seasons Bond Fund - Weekly IDCW	10.8842
ICICI Prudential All Seasons Bond Fund Retail - Annual Dividend	10.8538
ICICI Prudential All Seasons Bond Fund Retail - Cumulative	49.3216
ICICI Prudential All Seasons Bond Fund Retail - Quarterly Dividend	11.6831
IDBI Dynamic Bond Fund Annual IDCW Direct	16.2303
IDBI Dynamic Bond Fund Annual IDCW Regular	13.4774
IDBI Dynamic Bond Fund Growth	18.3997
IDBI Dynamic Bond Fund Growth Direct	19.9218
IDBI Dynamic Bond Fund Quarterly IDCW Direct	11.0652
IDBI Dynamic Bond Fund Quarterly IDCW Regular	12.8623
ITI Dynamic Bond Fund - Direct Plan - Annually IDCW Option	11.0603
ITI Dynamic Bond Fund - Direct Plan - Growth Option	11.0604
ITI Dynamic Bond Fund - Direct Plan - Half Yearly IDCW Option	11.0656
ITI Dynamic Bond Fund - Direct Plan - Monthly IDCWOption	10.0307
ITI Dynamic Bond Fund - Direct Plan - Quarterly IDCW Option	11.0656
ITI Dynamic Bond Fund - Regular Plan - Annually IDCWOption	10.8384
ITI Dynamic Bond Fund - Regular Plan - Growth Option	10.8384
ITI Dynamic Bond Fund - Regular Plan - Half Yearly IDCW Option	10.8392
ITI Dynamic Bond Fund - Regular Plan - Monthly IDCW Option	10.0286
ITI Dynamic Bond Fund - Regular Plan - Quarterly IDCW Option	10.8386
JM Dynamic Bond Fund (Direct) - Daily IDCW	10.1095
JM Dynamic Bond Fund (Direct) - IDCW	38.0840
JM Dynamic Bond Fund (Direct) - Monthly IDCW	38.3769
JM Dynamic Bond Fund (Direct) - Weekly IDCW	10.5775
JM Dynamic Bond Fund (Regular) - Bonus Option - Principal Units	35.8249
JM Dynamic Bond Fund (Regular) - Daily IDCW	10.0550
JM Dynamic Bond Fund (Regular) - Growth Option	35.8122
JM Dynamic Bond Fund (Regular) - Half Yearly Bonus Option - Principal Units	36.1204
JM Dynamic Bond Fund (Regular) - IDCW	35.9245
JM Dynamic Bond Fund (Regular) - Monthly IDCW	36.0950
JM Dynamic Bond Fund (Regular) - Weekly IDCW	10.5687
JM Dynamic Bond Fund (Regular)- Premium Plan IDCW	10.2458
JM Dynamic Bond Fund - (Direct) - Bonus Option-Principal Units	37.7404
JM Dynamic Bond Fund - (Direct) - Growth Option	37.8803
JM Dynamic Bond Fund - (Direct) - Half Yearly Bonus Option - Principal Units	38.1190
JM Dynamic Bond Fund - Premium Plan - Daily Dividend Option	10.0470
JM Dynamic Bond Fund - Premium Plan - Growth Option	29.1520
Kotak Dynamic Bond Fund - Direct Plan - Standard Income Distribution cum capital withdrawal option	12.0174
Kotak Dynamic Bond Fund - Growth - Direct	34.2406
Kotak Dynamic Bond Fund Regular Plan - Standard Income Distribution cum capital withdrawal option	12.0259
Kotak Dynamic Bond Fund Regular Plan Growth	31.9206
Mahindra Manulife Dynamic Bond Fund - Direct Plan - Growth	13.0496
Mahindra Manulife Dynamic Bond Fund - Direct Plan - IDCW	12.3506
Mahindra Manulife Dynamic Bond Fund - Direct Plan - Quarterly IDCW	11.0484
Mahindra Manulife Dynamic Bond Fund - Regular Plan - Growth	12.3826
Mahindra Manulife Dynamic Bond Fund - Regular Plan - IDCW	11.7060
Mahindra Manulife Dynamic Bond Fund - Regular Plan - Quarterly IDCW	10.4352
Mirae Asset Dynamic Bond Fund -Direct Plan -Growth	15.1469
Mirae Asset Dynamic Bond Fund Direct IDCW	15.1450
Mirae Asset Dynamic Bond Fund Regular IDCW	14.1149
Mirae Asset Dynamic Bond Fund-Regular Plan Growth	14.1149
NIPPON INDIA DYNAMIC BOND FUND - Direct Plan - IDCW Option	24.4837
NIPPON INDIA DYNAMIC BOND FUND - Direct Plan - QUARTERLY IDCW Option	10.5925
Nippon India Dynamic Bond Fund - Direct Plan Growth Plan - Growth Option	33.8886
NIPPON INDIA DYNAMIC BOND FUND - IDCW Option	21.4200
NIPPON INDIA DYNAMIC BOND FUND - QUARTERLY IDCW Option	10.4902
Nippon India Dynamic Bond Fund-Growth Plan-Growth Option	31.8456
PGIM India Dynamic Bond Fund - Direct Plan-Growth Option	2506.2732
PGIM India Dynamic Bond Fund - Direct Plan-Monthly Dividend Option	1564.4811
PGIM India Dynamic Bond Fund - Direct Plan-Quarterly Dividend Option	1197.5854
PGIM India Dynamic Bond Fund - Dividend Option - Monthly	1075.7507
PGIM India Dynamic Bond Fund - Dividend Option - Quarterly	1097.0484
PGIM India Dynamic Bond Fund - Growth Option	2265.7106
PGIM India Dynamic Bond Fund-Bonus Option	1631.8015
Quantum Dynamic Bond Fund - Direct Plan Growth Option	18.2935
Quantum Dynamic Bond Fund - Direct Plan Monthly IDCW	10.2544
Quantum Dynamic Bond Fund - Regular Plan Growth Option	18.1649
Quantum Dynamic Bond Fund - Regular Plan Monthly IDCW	10.3287
SBI Dynamic Bond Fund - DIRECT PLAN - Growth	33.0802
SBI Dynamic Bond Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW)	18.4773
SBI Dynamic Bond Fund - REGULAR PLAN - Growth	30.7522
SBI Dynamic Bond Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW)	16.1220
Tata Dynamic Bond Fund- Direct Plan-Growth Option	38.2366
Tata Dynamic Bond Fund- Regular Plan - Growth Option	34.9217
Tata Dynamic Bond Fund- Regular Plan - Payout of IDCW Option	20.1116
Tata Dynamic Bond- Direct Plan - Payout of IDCW Option	22.6907
Union Dynamic Bond Fund - Direct Plan - Growth Option	21.2467
Union Dynamic Bond Fund - Direct Plan - IDCW Option	14.2319
Union Dynamic Bond Fund - Growth Option	20.2258
Union Dynamic Bond Fund - IDCW Option	13.4847
UTI - Dynamic Bond Fund (Segregated - 17022020) - Direct Plan - Growth Option	1.3473
UTI - Dynamic Bond Fund (Segregated - 17022020) - Regular Plan - Growth Option	1.2708
UTI Dynamic Bond Fund ( Segregated - 17022020 ) - Direct Plan - Annual IDCW	0.7238
UTI Dynamic Bond Fund ( Segregated - 17022020 ) - Direct Plan - Flexi IDCW	0.7329
UTI Dynamic Bond Fund ( Segregated - 17022020 ) - Direct Plan - Half-Yearly IDCW	0.7258
UTI Dynamic Bond Fund ( Segregated - 17022020 ) - Direct Plan - Quarterly IDCW	1.0369
UTI Dynamic Bond Fund ( Segregated - 17022020 ) - Regular Plan - Annual IDCW	0.6989
UTI Dynamic Bond Fund ( Segregated - 17022020 ) - Regular Plan - Flexi IDCW	0.7036
UTI Dynamic Bond Fund ( Segregated - 17022020 ) - Regular Plan - Half-Yearly IDCW	0.6896
UTI Dynamic Bond Fund ( Segregated - 17022020 ) - Regular Plan - Quarterly IDCW	0.7527
UTI Dynamic Bond Fund - Direct Plan - Annual IDCW	13.2059
UTI Dynamic Bond Fund - Direct Plan - Flexi IDCW	14.2586
UTI Dynamic Bond Fund - Direct Plan - Growth Option	28.4121
UTI Dynamic Bond Fund - Direct Plan - Half-Yearly IDCW	13.9857
UTI Dynamic Bond Fund - Direct Plan - Quarterly IDCW	21.8643
UTI Dynamic Bond Fund - Regular Plan - Annual IDCW	12.5852
UTI Dynamic Bond Fund - Regular Plan - Flexi IDCW	14.1039
UTI Dynamic Bond Fund - Regular Plan - Growth Option	26.6091
UTI Dynamic Bond Fund - Regular Plan - Half-Yearly IDCW	13.1123
UTI Dynamic Bond Fund - Regular Plan - Quarterly IDCW	14.4884
Aditya Birla Sun Life Floating Rate Fund-Direct - daily IDCW	100.282
Aditya Birla Sun Life Floating Rate Fund-Direct - weekly IDCW	100.3326
Aditya Birla Sun Life Floating Rate Fund-Direct Plan-Growth	304.0699
Aditya Birla Sun Life Floating Rate Fund-Regular - DAILY IDCW	100.282
Aditya Birla Sun Life Floating Rate Fund-REGULAR - WEEKLY IDCW	100.3269
Aditya Birla Sun Life Floating Rate Fund-Regular Plan-Growth	297.2132
Aditya Birla Sun Life Floating Rate Fund-RETAIL - WEEKLY IDCW	100.3614
Aditya Birla Sun Life Floating Rate Fund-Retail Plan-Growth	429.8801
Axis Floater Fund - Direct Plan - Annual IDCW	1090.6906
Axis Floater Fund - Direct Plan - Daily IDCW	1002.0138
Axis Floater Fund - Direct Plan - Growth	1103.6702
Axis Floater Fund - Direct Plan - Monthly IDCW	1002.7651
Axis Floater Fund - Direct Plan - Quarterly IDCW	1076.6034
Axis Floater Fund - Regular Plan - Annual IDCW	1082.8347
Axis Floater Fund - Regular Plan - Daily IDCW	1002.0623
Axis Floater Fund - Regular Plan - Growth	1095.3674
Axis Floater Fund - Regular Plan - Monthly IDCW	1002.6995
Axis Floater Fund - Regular Plan - Quarterly IDCW	1068.7984
BANDHAN FLOATING RATE FUND  - DIRECT PLAN ANNUAL IDCW	10.2165
BANDHAN FLOATING RATE FUND  - DIRECT PLAN DAILY IDCW	10.0258
BANDHAN FLOATING RATE FUND  - DIRECT PLAN GROWTH	11.1483
BANDHAN FLOATING RATE FUND  - DIRECT PLAN MONTHLY IDCW	10.0513
BANDHAN FLOATING RATE FUND  - DIRECT PLAN PERIODIC IDCW	11.0509
BANDHAN FLOATING RATE FUND  - DIRECT PLAN QUARTERLY IDCW	10.2642
BANDHAN FLOATING RATE FUND  - DIRECT PLAN WEEKLY IDCW	10.0396
BANDHAN FLOATING RATE FUND  - REGULAR PLAN ANNUAL IDCW	10.2038
BANDHAN FLOATING RATE FUND  - REGULAR PLAN DAILY IDCW	10.0258
BANDHAN FLOATING RATE FUND  - REGULAR PLAN GROWTH	11.0257
BANDHAN FLOATING RATE FUND  - REGULAR PLAN MONTHLY IDCW	10.0324
BANDHAN FLOATING RATE FUND  - REGULAR PLAN PERIODIC IDCW	11.0257
BANDHAN FLOATING RATE FUND  - REGULAR PLAN QUARTERLY IDCW	10.2316
BANDHAN FLOATING RATE FUND  - REGULAR PLAN WEEKLY IDCW	10.0386
Baroda BNP Paribas Floater Fund - Direct Plan - Growth Option	10.0658
Baroda BNP Paribas Floater Fund - Direct Plan - Weekly IDCW Option	10.0358
Baroda BNP Paribas Floater Fund - Regular Plan - Growth option	10.0616
Baroda BNP Paribas Floater Fund - Regular Plan - Weekly IDCW option	10.0317
DSP Floater Fund - Direct Plan - Growth	11.1820
DSP Floater Fund - Direct Plan - IDCW	11.1820
DSP Floater Fund - Regular Plan - Growth	11.1158
DSP Floater Fund - Regular Plan - IDCW	11.1158
Franklin India Floating Rate Fund - Direct - Growth	37.1741
Franklin India Floating Rate Fund - Direct - IDCW 	10.0508
Franklin India Floating Rate Fund - Growth Plan	34.5649
Franklin India Floating Rate Fund - IDCW 	10.1529
HDFC Floating Rate Debt Fund - Daily IDCW Option	10.0809
HDFC Floating Rate Debt Fund - Direct Plan - Daily IDCW	10.0809
HDFC Floating Rate Debt Fund - Direct Plan - Growth Option	43.0006
HDFC Floating Rate Debt Fund - Direct Plan - Monthly IDCW	10.1529
HDFC Floating Rate Debt Fund - Direct Plan - Weekly IDCW	10.0487
HDFC Floating Rate Debt Fund - Growth Option	42.3573
HDFC Floating Rate Debt Fund - Monthly IDCW Option	10.1527
HDFC Floating Rate Debt Fund - Weekly IDCW Option	10.0485
ICICI Prudential Floating Interest Fund - Bonus	151.7062
ICICI Prudential Floating Interest Fund - Daily IDCW	100.8760
ICICI Prudential Floating Interest Fund - Direct Plan - Daily IDCW	100.5735
ICICI Prudential Floating Interest Fund - Direct Plan - Fortnightly IDCW	101.9935
ICICI Prudential Floating Interest Fund - Direct Plan - Growth	388.9127
ICICI Prudential Floating Interest Fund - Direct Plan - IDCW Others	166.2734
ICICI Prudential Floating Interest Fund - Direct Plan - Monthly IDCW	102.6565
ICICI Prudential Floating Interest Fund - Direct Plan - Quarterly IDCW	108.6397
ICICI Prudential Floating Interest Fund - Direct Plan - Weekly IDCW	102.0786
ICICI Prudential Floating Interest Fund - Fortnightly IDCW	101.9908
ICICI Prudential Floating Interest Fund - Growth	360.8421
ICICI Prudential Floating Interest Fund - IDCW Others	159.2851
ICICI Prudential Floating Interest Fund - Monthly IDCW	103.1015
ICICI Prudential Floating Interest Fund - Quarterly IDCW	107.1895
ICICI Prudential Floating Interest Fund - Weekly IDCW	102.0709
ICICI Prudential Floating Interest Fund Plan A - Dividend Daily	100.0251
ICICI Prudential Floating Interest Fund Plan A - Fortnightly Dividend	101.3988
ICICI Prudential Floating Interest Fund Plan A - Growth	300.7518
ICICI Prudential Floating Interest Fund Plan A - Weekly Dividend Option	101.1821
ICICI Prudential Floating Interest Fund Plan B - Dividend Daily	100.025
ICICI Prudential Floating Interest Fund Plan B - Fortnightly Dividend	101.397
ICICI Prudential Floating Interest Fund Plan B - Growth	324.7401
ICICI Prudential Floating Interest Fund Plan B - Weekly Dividend Option	101.1822
ICICI Prudential Floating Interest Fund Plan C - Dividend Daily	100.9403
ICICI Prudential Floating Interest Fund Plan C - Fortnightly Dividend	101.3966
ICICI Prudential Savings Fund Plan C - Growth	218.1632
ICICI Prudential Savings Fund Plan C - Weekly Dividend Option	101.3043
KOTAK FLOATING RATE FUND-DIRECT PLAN-GROWTH OPTION	1302.9391
KOTAK FLOATING RATE FUND-DIRECT PLAN-Standard Reinvestment of Income Distribution cum capital withdrawal option	1135.0588
KOTAK FLOATING RATE FUND-REGULAR PLAN-GROWTH OPTION	1283.5666
KOTAK FLOATING RATE FUND-REGULAR PLAN-STANDARD Reinvestment of Income Distribution cum capital withdrawal option	1142.362
Nippon India Floating Rate Fund  - Direct Plan Growth Plan - Growth Option	40.2366
NIPPON INDIA FLOATING RATE FUND - DAILY IDCW REINVESTMENT Option	10.2761
NIPPON INDIA FLOATING RATE FUND - DIRECT Plan - DAILY IDCW Option	10.2976
NIPPON INDIA FLOATING RATE FUND - DIRECT Plan - IDCW Option	17.9584
NIPPON INDIA FLOATING RATE FUND - DIRECT Plan - MONTHLY IDCW Option	11.2355
NIPPON INDIA FLOATING RATE FUND - DIRECT Plan - QUARTERLY IDCW Option	10.8882
NIPPON INDIA FLOATING RATE FUND - DIRECT Plan - WEEKLY IDCW Option	10.2879
Nippon India Floating Rate Fund - Growth Plan-Growth Option	38.4737
NIPPON INDIA FLOATING RATE FUND - IDCW Option	17.3719
NIPPON INDIA FLOATING RATE FUND - MONTHLY IDCW Option	11.0402
NIPPON INDIA FLOATING RATE FUND - QUARTERLY IDCW Option	10.9931
NIPPON INDIA FLOATING RATE FUND - WEEKLY IDCW Option	10.2843
SBI Floating Rate Debt Fund - Direct Plan - Growth	11.3541
SBI Floating Rate DEBT Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	11.3534
SBI Floating Rate DEBT Fund - Direct Plan - Quarterly Income Distribution cum Capital Withdrawal Option (IDCW)	11.3542
SBI Floating Rate Debt Fund - Regular Plan - Growth	11.2945
SBI Floating Rate DEBT Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	11.2951
SBI Floating Rate DEBT Fund - Regular Plan - Quarterly Income Distribution cum Capital Withdrawal Option (IDCW)	11.2953
Tata Floating Rate Fund -Direct Plan-Growth	11.0345
Tata Floating Rate Fund-Direct Plan-IDCW Monthly Dividend Reinvestment	11.0345
Tata Floating Rate Fund-Direct Plan-IDCW Monthly Payout	11.0345
Tata Floating Rate Fund-Direct Plan-IDCW Periodic Dividend Reinvestment	11.0345
Tata Floating Rate Fund-Direct Plan-IDCW Periodic Payout	11.0345
Tata Floating Rate Fund-Direct Plan-IDCW Quarterly Dividend Reinvestment	11.0345
Tata Floating Rate Fund-Direct Plan-IDCW Quarterly Payout	11.0345
Tata Floating Rate Fund-Regular Plan-Growth	10.9410
Tata Floating Rate Fund-Regular Plan-IDCW Monthly Dividend Reinvestment	10.9410
Tata Floating Rate Fund-Regular Plan-IDCW Monthly Payout	10.9410
Tata Floating Rate Fund-Regular Plan-IDCW Periodic Dividend Reinvestment	10.9410
Tata Floating Rate Fund-Regular Plan-IDCW Periodic Payout	10.9410
Tata Floating Rate Fund-Regular Plan-IDCW Quarterly Dividend Reinvestment	10.9410
Tata Floating Rate Fund-Regular Plan-IDCW Quarterly Payout	10.9410
UTI - Floater Fund - Direct Plan - Growth Option	1344.2261
UTI - Floater Fund - Regular Plan  - Growth Option	1296.9447
UTI Floater Fund - Direct Plan - Annual IDCW	1230.5306
UTI Floater Fund - Direct Plan - Flexi IDCW	1266.3621
UTI Floater Fund - Direct Plan - Half-Yearly IDCW	1225.2924
UTI Floater Fund - Direct Plan - Quarterly IDCW	1240.2044
UTI Floater Fund - Regular Plan - Annual IDCW	1231.6977
UTI Floater Fund - Regular Plan - Flexi IDCW	1185.6378
UTI Floater Fund - Regular Plan - Half-Yearly IDCW	1145.4021
UTI Floater Fund - Regular Plan - Quarterly IDCW	1146.5609
Aditya Birla Sun Life Govenment Securities Fund -DIRECT - Quarterly IDCW	11.88
Aditya Birla Sun Life Govenment Securities Fund -Regular - Quarterly IDCW	11.297
Aditya Birla Sun Life Government Securities Fund  - Growth - Regular Plan	69.7785
Aditya Birla Sun Life Government Securities Fund - Growth - Direct Plan	73.9714
AXIS CRISIL IBX 50:50 Gilt Plus SDL September 2027 Index Fund- DIRECT PLAN- IDCW	10.3421
AXIS CRISIL IBX 50:50 Gilt Plus SDL September 2027 Index Fund- DIRECT PLAN-GROWTH	10.3422
AXIS CRISIL IBX 50:50 Gilt Plus SDL September 2027 Index Fund- REGULAR PLAN-GROWTH	10.3354
AXIS CRISIL IBX 50:50 Gilt Plus SDL September 2027 Index Fund- REGULAR PLAN-IDCW	10.3354
Axis Gilt Fund - Direct Plan - Bonus Option	14.7352
Axis Gilt Fund - Direct Plan - Growth Option	22.8822
Axis Gilt Fund - Direct Plan - Half Yearly IDCW	10.6574
Axis Gilt Fund - Direct Plan - Regular IDCW	10.1056
Axis Gilt Fund - Regular Plan - Growth Option	21.6535
Axis Gilt Fund - Regular Plan - Half Yearly IDCW	10.3381
Axis Gilt Fund - Regular Plan - Regular IDCW	10.1030
BANDHAN Government Securities Fund - IP - Regular - Plan B - Half Yearly IDCW	11.1499
BANDHAN Government Securities Fund - IP - Regular Plan - Annual IDCW	11.0982
BANDHAN Government Securities Fund - IP - Regular Plan - Quarterly IDCW	11.7884
BANDHAN Government Securities Fund - IP - Regular -Plan B - Periodic IDCW	14.1696
BANDHAN Government Securities Fund - IP - Regular Plan - Growth	30.1668
BANDHAN Government Securities Fund - IP - Regular Plan - IDCW	11.3680
BANDHAN Government Securities Fund-  Investment Plan-Direct Plan-Annual IDCW	12.1569
BANDHAN Government Securities Fund-  Investment Plan-Direct Plan-Growth	32.1912
BANDHAN Government Securities Fund-  Investment Plan-Direct Plan-Half Yearly IDCW	12.0851
BANDHAN Government Securities Fund-  Investment Plan-Direct Plan-IDCW	12.4120
BANDHAN Government Securities Fund-  Investment Plan-Direct Plan-Periodic IDCW	15.2369
BANDHAN Government Securities Fund-  Investment Plan-Direct Plan-Quarterly IDCW	11.4738
Baroda BNP Paribas GILT FUND - Direct Plan - Growth Option	39.6589
Baroda BNP Paribas GILT FUND - Direct Plan - IDCW Option	31.2947
Baroda BNP Paribas GILT FUND - Regular Plan - Growth Option	36.3790
Baroda BNP Paribas GILT FUND - Regular Plan - IDCW Option	23.2103
CANARA ROBECO GILT FUND - DIRECT PLAN - GROWTH OPTION	69.3963
CANARA ROBECO GILT FUND - DIRECT PLAN - IDCW (Payout/Reinvestment)	16.1023
CANARA ROBECO GILT FUND - REGULAR PLAN - GROWTH OPTION	65.4110
CANARA ROBECO GILT FUND - REGULAR PLAN - IDCW (Payout/Reinvestment)	14.9944
DSP Government Securities Fund - Direct Plan - Growth	85.8806
DSP Government Securities Fund - Direct Plan - IDCW	12.6800
DSP Government Securities Fund - Direct Plan - IDCW - Monthly	10.8100
DSP Government Securities Fund - Regular Plan - Growth	81.5856
DSP Government Securities Fund - Regular Plan - IDCW	12.5625
DSP Government Securities Fund - Regular Plan - IDCW - Monthly	10.7598
Edelweiss Government Securities Fund - Direct Plan - Growth Option	22.1386
Edelweiss Government Securities Fund - Direct Plan - IDCW Option	22.0503
Edelweiss Government Securities Fund - Direct Plan Fortnightly - IDCW Option	20.0855
Edelweiss Government Securities Fund - Direct Plan Monthly - IDCW Option	16.6921
Edelweiss Government Securities Fund - Direct Plan weekly - IDCW Option	15.9566
Edelweiss Government Securities Fund - Regular Plan - Annual - IDCW Option	21.1052
Edelweiss Government Securities Fund - Regular Plan - Growth Option	21.0958
Edelweiss Government Securities Fund - Regular Plan - IDCW Option	21.1098
Edelweiss Government Securities Fund - Regular Plan Fortnightly - IDCW Option	19.4394
Edelweiss Government Securities Fund - Regular Plan Monthly - IDCW Option	10.4066
Edelweiss Government Securities Fund - Regular Plan Weekly - IDCW Option	10.3197
Franklin India Government Securities Fund - Direct - Growth	55.5765
Franklin India Government Securities Fund - Direct - IDCW 	11.6025
Franklin India Government Securities Fund - Growth	51.2665
Franklin India Government Securities Fund - IDCW 	10.2920
Indiabulls Gilt Fund - Direct Plan -  Growth Option	1634.7314
Indiabulls Gilt Fund - Direct Plan - Fortnightly Dividend Option	1026.3052
Indiabulls Gilt Fund - Direct Plan - Monthly Dividend Option	1025.995
Indiabulls Gilt Fund - Direct Plan - Weekly Dividend Option	1015.9373
Indiabulls Gilt Fund - Indirect Plan - Fortnightly Dividend Option	1048.7104
Indiabulls Gilt Fund - Indirect Plan - Growth Option	1544.0868
Indiabulls Gilt Fund - Indirect Plan - Monthly Dividend Option	1049.0732
Indiabulls Gilt Fund - Indirect Plan - Weekly Dividend Option	1052.7066
HDFC Gilt Fund - Growth Option - Direct Plan	49.4636
HDFC Gilt Fund - Growth Plan	47.4142
HDFC Gilt Fund - IDCW Option - Direct Plan	12.5619
HDFC Gilt Fund - IDCW Plan	11.8723
HSBC Gilt Fund - Direct Growth	64.5648
HSBC Gilt Fund - Direct Quarterly IDCW	12.6670
HSBC Gilt Fund - Regular Growth	57.7445
HSBC Gilt Fund - Regular Quarterly IDCW	11.2195
ICICI Prudential Gilt Fund - Bonus	12.8414
ICICI Prudential Gilt Fund - Direct Plan - Growth	92.8620
ICICI Prudential Gilt Fund - Direct Plan - IDCW	17.5174
ICICI Prudential Gilt Fund - Direct Plan Bonus	18.0717
ICICI Prudential Gilt Fund - Growth	87.1276
ICICI Prudential Gilt Fund - IDCW	16.7003
ICICI Prudential Short Term Gilt Fund - Bonus	10.0481
ICICI Prudential Short Term Gilt Fund - Direct Plan -  Dividend	12.2962
ICICI Prudential Short Term Gilt Fund - Direct Plan -  Growth	44.6880
ICICI Prudential Short Term Gilt Fund - Direct Plan -  Half Yearly Dividend	10.7239
ICICI Prudential Short Term Gilt Fund - Direct Plan Bonus	12.8615
ICICI Prudential Short Term Gilt Fund - Dividend	12.1349
ICICI Prudential Short Term Gilt Fund - Growth	43.6350
ICICI Prudential Short Term Gilt Fund - Half Yearly Dividend	11.2589
IDBI Gilt Fund Annual IDCW	13.2762
IDBI Gilt Fund Annual IDCW Direct	14.4796
IDBI Gilt Fund Growth	17.9300
IDBI Gilt Fund Growth Direct	19.2056
IDBI Gilt Fund Quarterly IDCW	12.4104
IDBI Gilt Fund Quarterly IDCW Direct	14.1788
Invesco India Gilt Fund - Annual IDCW (Payout / Reinvestment)	1164.0959
Invesco India Gilt Fund - Direct  Plan - Growth	2637.8272
Invesco India Gilt Fund - Direct Plan - Annual IDCW (Payout / Reinvestment)	1385.0681
Invesco India Gilt Fund - Direct Plan - Monthly IDCW (Reinvestment)	2058.5016
Invesco India Gilt Fund - Direct Plan - Quarterly IDCW (Payout / Reinvestment)	1054.8216
Invesco India Gilt Fund - Growth	2422.8269
Invesco India Gilt Fund - Monthly IDCW (Reinvestment)	1364.6416
Invesco India Gilt Fund - Quarterly IDCW (Payout / Reinvestment)	1104.5698
Kotak Gilt-Investment  Provident Fund and Trust-Growth	85.3083
