Scheme_Name	Net_Asset_Value
HSBC Banking and PSU Debt Fund - Regular Weekly IDCW	10.3318
ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW	10.0549
ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW	10.2427
ICICI Prudential Banking and PSU Debt Fund - Bonus	15.8889
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW	10.2538
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth	28.9683
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW	12.7766
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW	10.3708
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus	13.8665
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option	13.1098
ICICI Prudential Banking and PSU Debt Fund - Growth	27.9860
ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW	10.8282
ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option	12.9261
ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend	10.0122
ICICI Prudential Banking and PSU Debt Fund Retail Growth	21.631
ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend	10.3305
Invesco India Banking & PSU Debt Fund - Daily IDCW (Reinvestment)	1010.9796
Invesco India Banking & PSU Debt Fund - Direct Plan -  Growth Option	2067.3278
Invesco India Banking & PSU Debt Fund - Direct Plan - Daily IDCW (Reinvestment)	1032.2094
Invesco India Banking & PSU Debt Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	1011.3084
Invesco India Banking & PSU Debt Fund - Growth Option	1944.0913
Invesco India Banking & PSU Debt Fund - Monthly IDCW (Payout / Reinvestment)	1031.329
ITI Banking & PSU Debt Fund - Direct Plan - Growth Option	11.4011
ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option	11.4011
ITI Banking & PSU Debt Fund - Regular Plan - Growth Option	11.2388
ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option	11.2388
Kotak Banking and PSU Debt - Annual Dividend	16.1842
Kotak Banking and PSU Debt - Daily Dividend Reinvestment	10.188
Kotak Banking and PSU Debt - Direct Daily Dividend Reinvestment	10.2604
Kotak Banking and PSU Debt - Growth	56.0653
Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option	10.5334
Kotak Banking and PSU Debt Direct - Annual Dividend	17.1427
Kotak Banking and PSU Debt Direct - Growth	57.935
Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option	10.3029
LIC MF Banking & PSU Debt Fund-Direct Plan-Daily IDCW	12.9322
LIC MF Banking & PSU Debt Fund-Direct Plan-Growth	31.9615
LIC MF Banking & PSU Debt Fund-Direct Plan-Monthly IDCW	12.0371
LIC MF Banking & PSU Debt Fund-Direct Plan-Weekly IDCW	10.0611
LIC MF Banking & PSU Debt Fund-Regular Plan-Daily IDCW	10.8899
LIC MF Banking & PSU Debt Fund-Regular Plan-Growth	29.9497
LIC MF Banking & PSU Debt Fund-Regular Plan-Monthly IDCW	11.2091
LIC MF Banking & PSU Debt Fund-Regular Plan-Weekly IDCW	10.0588
Mirae Asset Banking and PSU Debt Fund Direct Growth	11.3354
Mirae Asset Banking and PSU Debt Fund Direct IDCW	11.3350
Mirae Asset Banking and PSU Debt Fund Regular Growth Plan	11.1924
Mirae Asset Banking and PSU Debt Fund Regular IDCW	11.1933
Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Bonus Option	18.3535
Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Growth Option	18.3533
Nippon India Banking  & PSU Debt Fund- Growth Plan- Bonus Option	12.3452
Nippon India Banking  & PSU Debt Fund- Growth Plan- Growth Option	17.8297
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - IDCW Option	18.3533
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - MONTHLY IDCW Option	10.6593
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - QUARTERLY IDCW Option	10.8865
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - WEEKLY IDCW Option	10.2853
NIPPON INDIA BANKING & PSU DEBT FUND - IDCW Option	17.8297
NIPPON INDIA BANKING & PSU DEBT FUND - MONTHLY IDCW Option	10.5957
NIPPON INDIA BANKING & PSU DEBT FUND - QUARTERLY IDCW Option	10.8291
NIPPON INDIA BANKING & PSU DEBT FUND - WEEKLY IDCW Option	10.2860
PGIM India Banking and PSU Debt fund - Bonus	13.3974
PGIM India Banking and PSU Debt Fund - Direct Plan - Regular Dividend	10.2676
PGIM India Banking and PSU Debt fund - Monthly Dividend	10.7742
PGIM India Banking and PSU Debt fund - Quarterly Bonus	11.6111
PGIM India Banking and PSU Debt fund - Quarterly Dividend	10.6865
PGIM India Banking and PSU Debt Fund - Regular Dividend	10.255
PGIM India Banking and PSU Debt fund - Weekly Dividend	10.2735
PGIM India Banking and PSU Debt fund -Growth	20.9829
PGIM India Banking and PSU Debt fund- Direct Plan-  Quarterly Bonus	13.6246
PGIM India Banking and PSU Debt fund- Direct Plan-  Regular Bonus	15.2364
PGIM India Banking and PSU Debt fund- Direct Plan- Annual Dividend	11.0995
PGIM India Banking and PSU Debt fund- Direct Plan- Monthly Dividend	10.9284
PGIM India Banking and PSU Debt fund- Direct Plan- Quarterly Dividend	10.7484
PGIM India Banking and PSU Debt fund- Direct Plan- Weekly Dividend	10.2259
PGIM India Banking and PSU Debt fund- Direct Plan-Growth	21.9841
SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1244.9895
SBI BANKING & PSU FUND - Direct Plan - Growth	2826.4846
SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1207.9529
SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1242.2232
SBI BANKING & PSU FUND - Regular Paln - Growth	2684.8842
SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1224.9196
SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1149.2429
SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1224.6628
